year  doy  maxRHL1  meanazm  sat   delT   minE    maxE  UTC  ObsType  p/k   DynCor  MaskPart
              m       deg           min   deg     deg   hr                        
2021  357    14.31   137.68   G1    37   19.81    5.09   6.34    3  10.114 -0.529   1
2021  357    14.29   137.68   G1    37   19.81    5.09   6.34    4  10.516 -0.529   1
2021  357    18.29   247.73   G1    34   24.98   12.10   0.55    4  11.429  0.834   2
2021  357    14.79   174.41   G4    29   24.85   12.19   3.84    4   7.602  0.729   2
2021  357    15.37   186.61   G5    30   24.86   12.10  13.18    2   9.475 -0.735   2
2021  357    15.37   186.61   G5    30   24.86   12.10  13.18    3  10.849 -0.735   2
2021  357    15.76   187.87   G6    28   24.78   12.12   9.40    3   7.212 -0.714   2
2021  357    15.84   187.87   G6    28   24.78   12.12   9.40    4   7.247 -0.714   2
2021  357    14.69   162.72   G7    31   19.93    7.62   6.84    2  10.836  0.576   1
2021  357    14.69   162.72   G7    31   19.93    7.62   6.84    3  12.008  0.576   1
2021  357    16.16   159.30   G8    35   19.88    5.08   3.80    2   7.152 -0.496   1
2021  357    16.16   159.30   G8    35   19.88    5.08   3.80    3   8.624 -0.496   1
2021  357    16.10   159.30   G8    35   19.88    5.08   3.80    4   7.810 -0.496   1
2021  357    17.79   271.85   G8    35   24.92   12.13  22.18    2   9.745  0.874   2
2021  357    17.65   271.85   G8    35   24.92   12.13  22.18    3   9.878  0.874   2
2021  357    17.82   271.85   G8    35   24.92   12.13  22.18    4  10.666  0.874   2
2021  357    14.31   195.19   G9    29   24.80   12.00   4.87    3   8.897  0.718   2
2021  357    14.34   195.19   G9    29   24.80   12.00   4.87    4   7.883  0.718   2
2021  357    17.23   147.02  G10    38   19.90    5.09  21.99    3   8.758  0.545   1
2021  357    17.35   147.02  G10    38   19.90    5.09  21.99    4  11.345  0.545   1
2021  357    17.09   262.00  G10    49   24.97   12.06  15.70    1   8.528 -1.290   2
2021  357    17.66   262.00  G10    49   24.97   12.06  15.70    3   7.815 -1.290   2
2021  357    17.54   262.00  G10    49   24.97   12.06  15.70    4   8.492 -1.290   2
2021  357    16.91   205.40  G11    31   24.99   12.19  10.46    3  10.921 -0.776   2
2021  357    16.89   205.40  G11    31   24.99   12.19  10.46    4   8.533 -0.776   2
2021  357    17.80   144.11  G14    40   19.91    5.15  10.06    4  10.845  0.563   1
2021  357    14.95   173.79  G16    29   24.94   12.07   0.96    2   9.743 -0.729   2
2021  357    14.68   163.27  G18    24   19.80    9.79  18.98    2   7.802  0.602   1
2021  357    14.85   163.27  G18    24   19.80    9.79  18.98    3   9.238  0.602   1
2021  357    14.75   163.27  G18    24   19.80    9.79  18.98    4  10.381  0.602   1
2021  357    16.38   132.75  G23    21   12.52    5.15  21.12    3   7.993  0.421   1
2021  357    17.96   238.50  G23    38   24.92   12.04  15.22    2  10.102 -0.943   2
2021  357    17.96   238.50  G23    38   24.92   12.04  15.22    3  11.859 -0.943   2
2021  357    17.85   238.50  G23    38   24.92   12.04  15.22    4  11.408 -0.943   2
2021  357    17.73   135.54  G24    38   19.95    5.16  17.85    2   7.960 -0.544   1
2021  357    14.96   135.54  G24    38   19.95    5.16  17.85    3   9.739 -0.544   1
2021  357    14.98   135.54  G24    38   19.95    5.16  17.85    4  13.801 -0.544   1
2021  357    18.91   244.99  G24    32   24.83   12.13  12.05    3  10.994  0.817   2
2021  357    18.83   244.99  G24    32   24.83   12.13  12.05    4  11.389  0.817   2
2021  357    16.53   224.66  G25    30   24.87   12.12  14.87    3   8.836  0.764   2
2021  357    16.50   224.66  G25    30   24.87   12.12  14.87    4   8.802  0.764   2
2021  357    16.43   162.14  G26    25   19.93    9.35  23.78    2   7.912 -0.587   1
2021  357    16.43   162.14  G26    25   19.93    9.35  23.78    3   8.451 -0.587   1
2021  357    17.85   162.14  G26    25   19.93    9.35  23.78    4   9.911 -0.587   1
