outdectrhtime   outdectrh
342.0075   2.3625
342.0075   2.4325
342.0075   2.3625
342.0075   2.1750
342.0075   2.0950
342.0075   2.1550
342.0233   1.7385
342.0233   2.8285
342.0233   2.8685
342.0233   2.7324
342.0233   2.5424
342.0400   2.5925
342.0400   0.4925
342.0400   2.1625
342.0400   2.1550
342.0400   2.5050
342.0446   1.8785
342.0446   1.9185
342.0446   1.8985
342.0446   1.8724
342.0446   2.0924
342.0446   1.7024
342.0483   3.1085
342.0483   2.5185
342.0483   2.3824
342.0483   2.9824
342.0554   2.0385
342.0554   2.0385
342.0654   1.7685
342.0654   1.6685
342.0654   1.4824
342.0654   1.6224
342.0725   2.7385
342.0725   2.0285
342.0725   2.8385
342.0725   2.9385
342.0725   1.7324
342.0725   2.6024
342.0725   2.5524
342.0725   2.8124
342.0775   1.5024
342.0775   1.5724
342.0879   2.9085
342.0879   3.0385
342.0879   2.9024
342.0879   2.7724
342.1112   0.0485
342.1112   0.1085
342.1112   -0.0776
342.1175   0.0025
342.1175   0.4825
342.1175   0.5325
342.1175   0.4225
342.1175   0.1425
342.1175   0.0450
342.1175   0.3850
342.1175   0.1650
342.1175   0.4250
342.1313   1.7685
342.1313   1.6685
342.1313   1.5124
342.1313   1.4524
342.1317   2.0685
342.1317   1.9324
342.1317   1.9324
342.1458   -1.2715
342.1458   -1.0415
342.1458   -1.2676
342.1525   -0.9876
342.1600   -1.6076
342.1600   -1.7176
342.1600   -1.5976
342.1600   -1.5476
342.1750   0.5585
342.1750   0.5685
342.1750   0.4885
342.1783   -1.7176
342.1875   -2.1115
342.1875   -2.1815
342.1875   -2.3176
342.1875   -2.2376
342.1992   -2.2615
342.1992   -2.3015
342.1992   -2.3315
342.1992   -2.3015
342.1992   -2.4476
342.1992   -2.3976
342.1992   -2.4676
342.1992   -3.0176
342.2004   -0.6775
342.2004   -1.1975
342.2008   -0.7475
342.2008   -0.8675
342.2008   -0.8275
342.2008   -1.0550
342.2029   -2.2915
342.2029   -2.1315
342.2029   -2.4376
342.2029   -2.2576
342.2417   -2.5176
342.2458   -2.5815
342.2458   -1.9175
342.2458   -2.7215
342.2458   -2.7215
342.2458   -1.9075
342.2458   -2.8676
342.2458   -2.8676
342.2458   -2.1550
342.2458   -2.8576
342.2458   -2.1450
342.2683   -2.1375
342.2683   -2.1375
342.2771   -2.8215
342.2771   -2.8015
342.2771   -2.8015
342.2771   -2.8215
342.2771   -2.8276
342.2771   -2.8176
342.2771   -2.9276
342.2817   -2.3775
342.2817   -2.3475
342.2817   -2.5950
342.2817   -2.6350
342.2842   -2.5415
342.2842   -2.7015
342.2842   -2.5815
342.2842   -2.6215
342.2842   -2.5915
342.2842   -2.6676
342.2842   -2.7276
342.2842   -2.6876
342.2842   -2.7576
342.3004   -2.1515
342.3004   -2.1515
342.3062   -2.9315
342.3062   -2.9515
342.3062   -1.8076
342.3062   -3.0876
342.3062   -3.0676
342.3067   -2.4775
342.3067   -2.4775
342.3067   -2.3875
342.3067   -2.7350
342.3067   -2.7350
342.3067   -2.6150
342.3217   -2.7615
342.3217   -2.7615
342.3217   -2.9076
342.3217   -2.9076
342.3271   -1.4375
342.3271   -1.4375
342.3271   -1.6850
342.3442   -2.6815
342.3442   -2.8176
342.3471   -1.9375
342.3471   -2.1275
342.3471   -2.0975
342.3471   -2.1175
342.3471   -2.4375
342.3471   -2.3550
342.3471   -2.3550
342.3471   -2.3850
342.3471   -2.2850
342.3562   -1.3175
342.3562   -0.6275
342.3562   -0.8750
342.3704   -1.7515
342.3704   -1.9915
342.3704   -2.0715
342.3704   -2.2076
342.3704   -2.1176
342.3712   -0.3715
342.3712   -0.4215
342.3712   -0.5076
342.3800   -1.0575
342.3925   0.5285
342.3925   0.9785
342.3925   0.7485
342.4104   -1.0115
342.4104   -1.0015
342.4104   -1.1115
342.4104   -1.0615
342.4104   -1.2976
342.4104   -0.9976
342.4104   -1.3976
342.4104   -1.4876
342.4154   -0.9515
342.4154   -0.8215
342.4154   -0.9576
342.4237   1.1085
342.4237   1.2185
342.4237   0.9424
342.4237   1.1324
342.4258   1.2824
342.4342   -0.2715
342.4342   -0.2715
342.4342   -0.1715
342.4342   -0.4176
342.4596   2.1725
342.4596   2.0925
342.4596   2.0725
342.4596   2.4325
342.4596   1.8350
342.4596   1.9550
342.4596   1.8150
342.4596   1.6050
342.4621   2.2325
342.4621   1.9450
342.4621   2.0150
342.4779   0.8385
342.4779   0.8485
342.4779   0.6924
342.4783   0.7624
342.4804   2.9150
342.4862   3.3124
342.4929   2.2585
342.5092   2.0885
342.5092   1.5785
342.5092   1.5924
342.5092   1.2224
342.5129   3.2524
342.5129   3.3824
342.5129   3.1524
342.5387   2.7885
342.5387   2.8785
342.5387   2.9524
342.5387   2.8924
342.5387   2.5624
342.5504   3.7725
342.5504   1.5025
342.5504   1.2550
342.5504   2.9250
342.5833   1.8085
342.5833   1.8685
342.5833   1.8724
342.5833   1.8224
342.6200   1.8685
342.6338   0.5625
342.6717   -0.5976
342.6767   1.2285
342.6767   0.9524
342.6779   -0.4075
342.6779   -0.4275
342.6779   -0.2575
342.6779   -0.4175
342.6779   -0.3950
342.6779   -0.6650
342.6800   -1.3815
342.6800   -1.3676
342.6875   0.7085
342.6875   0.7185
342.6875   0.4424
342.6921   -0.4175
342.6921   0.5225
342.6921   0.3425
342.6921   0.8025
342.6921   -0.6850
342.6921   0.1050
342.6971   0.3585
342.7158   -1.2875
342.7158   -1.2875
342.7225   -1.6715
342.7225   -1.6715
342.7292   -2.0015
342.7292   -2.1476
342.7350   -0.6015
342.7350   -0.6015
342.7350   -0.6415
342.7350   -0.7776
342.7350   -0.7376
342.7387   -2.1215
342.7387   -2.0115
342.7387   -2.0415
342.7387   -2.1776
342.7387   -2.2576
342.7412   -2.4215
342.7412   -2.1715
342.7412   -2.3415
342.7412   -2.4615
342.7412   -2.4176
342.7412   -2.3276
342.7412   -2.4076
342.7412   -2.4776
342.7508   -1.8676
342.7542   -1.3615
342.7542   -1.5015
342.7558   -1.3715
342.7558   -1.1915
342.7558   -1.3115
342.7558   -1.2715
342.7558   -1.3476
342.7558   -1.3576
342.7558   -1.4576
342.7558   -1.8476
342.7646   -1.3015
342.7646   -1.4415
342.7646   -1.9276
342.7646   -1.5776
342.7646   -1.4376
342.7842   -2.1876
342.7842   -1.9576
342.7862   -1.5275
342.7862   -1.5175
342.7862   -1.7850
342.7862   -1.7350
342.7983   -1.7175
342.7983   -1.8175
342.7983   -1.9215
342.7983   -1.7575
342.7983   -1.9215
342.7983   -1.7975
342.7983   -1.4875
342.7983   -2.0150
342.7983   -1.9150
342.7983   -2.0550
342.7983   -2.0850
342.8087   -2.0115
342.8087   -1.8215
342.8087   -1.9576
342.8087   -2.1476
342.8092   -1.8676
342.8092   -2.0176
342.8092   -1.9676
342.8112   -2.1615
342.8112   -2.2515
342.8112   -2.1415
342.8112   -2.1715
342.8112   -2.1315
342.8112   -2.2776
342.8112   -2.2976
342.8112   -2.3776
342.8112   -2.3076
342.8112   -1.9676
342.8254   -2.2715
342.8254   -2.2715
342.8254   -2.2515
342.8254   -2.4076
342.8254   -2.4076
342.8254   -2.3876
342.8338   -1.2075
342.8338   -1.2075
342.8338   -1.3175
342.8338   -1.4550
342.8338   -1.4550
342.8338   -1.3450
342.8587   -1.5975
342.8587   -1.5575
342.8587   -1.5575
342.8587   -1.5675
342.8587   -1.6850
342.8587   -1.8150
342.8813   -0.2215
342.8813   -0.1615
342.8813   -0.2015
342.8813   -0.1415
342.8813   -0.3176
342.8813   -0.3576
342.8813   -0.3476
342.8896   -2.1415
342.8896   0.0385
342.8896   -1.9015
342.8896   0.0785
342.8896   -2.2576
342.8896   -0.0576
342.8896   -0.0976
342.9117   0.6385
342.9117   0.4985
342.9117   0.4885
342.9117   0.4924
342.9117   0.5024
342.9225   0.6925
342.9388   0.0625
342.9388   0.0525
342.9388   -0.2375
342.9388   -0.3150
342.9388   -0.1250
342.9388   -0.2150
342.9388   0.0450
342.9396   0.2125
342.9396   0.2025
342.9396   -0.1650
342.9396   -0.0150
342.9417   -0.4215
342.9417   -0.4215
342.9417   -0.5676
342.9417   -0.4276
342.9588   1.3225
342.9588   1.7125
342.9638   1.7124
342.9663   1.7585
342.9663   1.7624
342.9667   1.1185
342.9779   0.2085
342.9779   2.2485
342.9779   2.1385
342.9779   2.2085
342.9779   2.1585
342.9779   1.9824
342.9779   2.1124
342.9779   1.9224
342.9779   2.4724
342.9875   0.1085
342.9875   2.2485
342.9875   0.3885
342.9875   2.2785
342.9875   2.1424
342.9875   2.1224
342.9942   0.9885
343.0250   1.6285
343.0250   1.4985
343.0250   1.4785
343.0250   1.5485
343.0250   1.3424
343.0250   1.4924
343.0250   1.3424
343.0250   1.1124
343.0375   1.1225
343.0375   1.0250
343.0387   2.8785
343.0387   2.7685
343.0387   2.6324
343.0387   2.5924
343.0454   2.7325
343.0454   2.0625
343.0454   2.5150
