winrhtime   winrh
342.0000   2.0490
342.0069   2.1574
342.0139   2.1267
342.0208   2.0959
342.0278   2.0652
342.0347   2.0642
342.0417   1.9682
342.0486   1.9315
342.0556   1.8566
342.0625   1.7816
342.0694   1.5765
342.0764   1.4738
342.0833   1.2768
342.0903   1.1591
342.0972   1.1492
342.1042   1.0031
342.1111   0.6885
342.1181   0.5006
342.1250   0.4385
342.1319   0.2934
342.1389   0.1027
342.1458   -0.0792
342.1528   -0.2807
342.1597   -0.3667
342.1667   -0.5709
342.1736   -0.7341
342.1806   -0.9227
342.1875   -1.1302
342.1944   -1.1095
342.2014   -1.2240
342.2083   -1.3783
342.2153   -1.7388
342.2222   -1.7875
342.2292   -1.8666
342.2361   -1.9753
342.2431   -2.0275
342.2500   -1.9256
342.2569   -1.9996
342.2639   -2.2823
342.2708   -2.3224
342.2778   -2.2207
342.2847   -2.6515
342.2917   -2.5877
342.2986   -2.3797
342.3056   -2.3238
342.3125   -2.0181
342.3194   -1.9172
342.3264   -1.8277
342.3333   -1.9254
342.3403   -1.8163
342.3472   -1.6396
342.3542   -1.5269
342.3611   -1.3726
342.3681   -1.2019
342.3750   -1.0453
342.3819   -0.8232
342.3889   -0.6408
342.3958   -0.5140
342.4028   -0.3297
342.4097   -0.1563
342.4167   0.0231
342.4236   0.2084
342.4306   0.3801
342.4375   0.5711
342.4444   0.7620
342.4514   0.9532
342.4583   1.0009
342.4653   1.1650
342.4722   1.2051
342.4792   1.3652
342.4861   1.5181
342.4931   1.6709
342.5000   1.9143
342.5069   1.6703
342.5139   2.2948
342.5208   2.0609
342.5278   2.0804
342.5347   2.0998
342.5417   2.5028
342.5486   2.5521
342.5556   2.2725
342.5625   1.8853
342.5694   1.8283
342.5764   1.7709
342.5833   1.7639
342.5903   1.5362
342.5972   1.3834
342.6042   1.2828
342.6111   1.0668
342.6181   0.9761
342.6250   0.8498
342.6319   0.7451
342.6389   0.9369
342.6458   0.7485
342.6528   0.6360
342.6597   0.3922
342.6667   0.1702
342.6736   -0.0772
342.6806   -0.2271
342.6875   -0.5828
342.6944   -0.7188
342.7014   -0.8879
342.7083   -0.9750
342.7153   -1.0487
342.7222   -1.1935
342.7292   -1.2818
342.7361   -1.3891
342.7431   -1.4710
342.7500   -1.5335
342.7569   -1.2889
342.7639   -1.4537
342.7708   -1.5072
342.7778   -1.8006
342.7847   -1.9319
342.7917   -1.9586
342.7986   -1.4755
342.8056   -1.4748
342.8125   -1.3974
342.8194   -1.6366
342.8264   -1.5226
342.8333   -1.4403
342.8403   -1.5764
342.8472   -1.5386
342.8542   -1.6115
342.8611   -1.4415
342.8681   -1.3643
342.8750   -1.3069
342.8819   -1.0552
342.8889   -0.8836
342.8958   -0.8000
342.9028   -0.6703
342.9097   -0.5233
342.9167   -0.3828
342.9236   -0.2688
342.9306   -0.1270
342.9375   0.0149
342.9444   -0.2408
342.9514   -0.0433
342.9583   0.0937
342.9653   0.0822
342.9722   0.5640
342.9792   0.8225
342.9861   0.8811
342.9931   0.9740
343.0000   1.0169
343.0069   1.2370
343.0139   1.3055
343.0208   1.4457
343.0278   1.6894
343.0347   1.7270
343.0417   1.6974
343.0486   1.7469
343.0556   1.7395
343.0625   1.7121
343.0694   1.6097
343.0764   1.7709
343.0833   1.7452
343.0903   1.7077
343.0972   1.6703
343.1042   1.2285
343.1111   1.3079
343.1181   1.0289
343.1250   1.1896
343.1319   1.0269
343.1389   1.0647
343.1458   0.8922
343.1528   0.6936
343.1597   0.5161
343.1667   0.3513
343.1736   0.1860
343.1806   0.0188
343.1875   -0.1336
343.1944   -0.3028
343.2014   -0.4896
343.2083   -0.6165
343.2153   -0.8101
343.2222   -0.9544
343.2292   -1.1111
343.2361   -1.2789
343.2431   -1.3929
343.2500   -1.4731
343.2569   -1.5533
343.2639   -1.6817
343.2708   -1.7915
343.2778   -1.6856
343.2847   -2.0789
343.2917   -2.0599
343.2986   -2.0810
343.3056   -2.1179
343.3125   -2.1367
343.3194   -2.0373
343.3264   -1.7524
343.3333   -1.6887
343.3403   -1.7371
343.3472   -1.8848
343.3542   -1.7165
343.3611   -1.5597
343.3681   -1.6322
343.3750   -1.5057
343.3819   -1.4558
343.3889   -1.3866
343.3958   -1.2229
343.4028   -1.1100
343.4097   -0.9131
343.4167   -0.7661
343.4236   -0.6213
343.4306   -0.4909
343.4375   -0.3099
343.4444   -0.1647
343.4514   -0.0247
343.4583   0.1452
343.4653   0.2725
343.4722   0.4029
343.4792   0.5447
343.4861   0.6767
343.4931   0.8153
343.5000   0.9566
343.5069   1.0303
343.5139   1.1551
343.5208   1.2291
343.5278   1.3356
343.5347   1.4421
343.5417   1.5486
343.5486   1.7196
343.5556   1.5445
343.5625   1.6584
343.5694   1.7251
343.5764   1.8442
343.5833   1.8681
343.5903   1.6276
343.5972   1.6157
343.6042   1.9193
343.6111   1.8260
343.6181   1.6602
343.6250   1.6072
343.6319   1.3559
343.6389   1.2428
343.6458   1.4999
343.6528   1.3430
343.6597   1.1650
343.6667   1.0036
343.6736   0.7982
343.6806   0.6357
343.6875   0.5068
343.6944   0.3068
343.7014   0.0935
343.7083   -0.0424
343.7153   -0.1497
343.7222   -0.3662
343.7292   -0.5009
343.7361   -0.6006
343.7431   -0.8116
343.7500   -0.8276
343.7569   -0.9721
343.7639   -1.0983
343.7708   -1.2283
343.7778   -1.3961
343.7847   -1.4542
343.7917   -1.5343
343.7986   -1.6116
343.8056   -1.6184
343.8125   -1.5732
343.8194   -1.2639
343.8264   -1.6095
343.8333   -1.6065
343.8403   -1.5615
343.8472   -1.6293
343.8542   -1.5774
343.8611   -1.6454
343.8681   -1.5265
343.8750   -1.3578
343.8819   -1.2723
343.8889   -1.2165
343.8958   -1.1340
343.9028   -1.0000
